,UCLA Status,Custom field (UID Number),Mifi,CLICC ChromeBook,CLICC HP Laptop,CLICC MacBook,ITS MacBook,ITS Touchscreen Laptop,ITS Windows Laptop,ITS iPad
475,Undergraduate,005136507,0,0,0,0,0,0,1,0
476,Undergraduate,005138120,0,0,1,0,0,0,0,0
477,Undergraduate,005141537,1,0,0,1,0,0,0,0
478,Undergraduate,005160984,1,0,0,0,0,0,0,0
479,Undergraduate,005175711,1,0,0,0,0,0,0,0
480,Undergraduate,005196073,1,0,0,0,0,0,0,0
481,Undergraduate,005305656,0,0,1,0,0,0,0,0
482,Undergraduate,005320100,1,0,0,0,0,0,0,0
483,Undergraduate,005322137,1,0,0,0,0,0,0,0
484,Undergraduate,005335597,1,0,0,0,0,0,0,0
485,Undergraduate,005341490,1,0,0,1,0,0,0,0
486,Undergraduate,005346586,1,0,0,0,0,0,0,0
487,Undergraduate,005360134,0,0,0,1,0,0,0,0
488,Undergraduate,005362133,1,0,0,1,0,0,0,0
489,Undergraduate,005363024,1,0,0,1,0,0,0,0
490,Undergraduate,005365396,1,0,0,0,0,0,0,0
491,Undergraduate,005366659,1,0,0,1,0,0,0,0
492,Undergraduate,005367418,0,0,0,1,0,0,0,0
